id,doi,title,year,field,subfield,topic,container_title,publisher,authors,type,community,in_degree,out_degree,degree,eigenvector,pagerank,betweenness,PC1_score,bridging_centrality
W2783668429,https://doi.org/10.1063/1.5006941,"A review of Ga2O3 materials, processing, and devices",2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Reviews,American Institute of Physics,S. J. Pearton; Jiancheng Yang; Patrick H. Cary; F. Ren; Jihyun Kim; Marko J. Tadjer; Michael A. Mastro,review,2.0,854.0,0.0,854.0,0.9557233945387,0.1566082494061605,0.0,67.17360369750692,0.0
W2905220617,https://doi.org/10.1063/1.5062841,Perspective: Ga2O3 for ultra-high power rectifiers and MOSFETS,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Applied Physics,American Institute of Physics,S. J. Pearton; F. Ren; Marko J. Tadjer; Jihyun Kim,article,1.0,140.0,2.0,142.0,0.0927906223046125,0.0160868672926554,0.0001663306903913,8.644669268045343,0.0
W2918298554,https://doi.org/10.1364/prj.7.000381,Review of gallium-oxide-based solar-blind ultraviolet photodetectors,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Photonics Research,Optica Publishing Group,Xuanhu Chen; Fangfang Ren; Shulin Gu; Jiandong Ye,article,2.0,112.0,4.0,116.0,0.0194464182243269,0.0107794660233483,0.0004036752322289,5.8563145399710175,0.00020183761611445694
W3008665815,https://doi.org/10.1063/1.5142999,"Recent progress on the electronic structure, defect, and doping properties of Ga2O3",2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,APL Materials,American Institute of Physics,Jiaye Zhang; Jueli Shi; Dongchen Qi; Lang Chen; Kelvin H. L. Zhang,article,3.0,92.0,13.0,105.0,0.000429856083268,0.0047083221605385,0.0021193722236356,5.457376744672096,4.155631811050199e-05
W4284881561,https://doi.org/10.1038/s41467-022-31664-y,Ultra-wide bandgap semiconductor Ga2O3 power diodes,2022,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Nature Communications,Nature Portfolio,Jincheng Zhang; Pengfei Dong; Kui Dang; Yanni Zhang; Qinglong Yan; Hu Xiang; Jie Su; Zhihong Liu; Mengwei Si; Jiacheng Gao; Moufu Kong; Hong Zhou; Yue Hao,article,1.0,35.0,12.0,47.0,1.3323434204728921e-12,0.0011883487087758,0.0006060612757175,1.778887913820398,1.7516221841547708e-06
W2988598880,https://doi.org/10.1016/j.mtphys.2019.100157,Review of Ga2O3-based optoelectronic devices,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Materials Today Physics,Elsevier BV,Daoyou Guo; Qixin Guo; Z. Chen; Zhenping Wu; P. Li; Weihua Tang,article,2.0,62.0,4.0,66.0,0.001133272111754,0.0035278808026633,0.000170055192622,2.628820145535972,2.1256899077762033e-05
W2897102015,https://doi.org/10.1039/c8tc04193h,Radiation damage effects in Ga<sub>2</sub>O<sub>3</sub> materials and devices,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Materials Chemistry C,Royal Society of Chemistry,Jihyun Kim; S. J. Pearton; Chaker Fares; Jiancheng Yang; F. Ren; Suhyun Kim; A. Y. Polyakov,article,4.0,65.0,1.0,66.0,0.0322205009138063,0.0069530401205518,0.0,3.4963083114593645,0.0
W3010867429,https://doi.org/10.1063/1.5142195,Point defects in Ga<sub>2</sub>O<sub>3</sub>,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Applied Physics,American Institute of Physics,Matthew D. McCluskey,article,4.0,48.0,9.0,57.0,0.0001563532163601,0.0025011475650193,0.0003774245861921,2.20699417348963,3.774245861921494e-05
W2972201609,https://doi.org/10.1021/acsami.9b11012,"Ultrasensitive, Superhigh Signal-to-Noise Ratio, Self-Powered Solar-Blind Photodetector Based on <i>n</i>-Ga<sub>2</sub>O<sub>3</sub>/<i>p</i>-CuSCN Core–Shell Microwire Heterojunction",2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,ACS Applied Materials & Interfaces,American Chemical Society,Shan Li; Daoyou Guo; Peigang Li; Xia Wang; Yuehui Wang; Zuyong Yan; Zeng Liu; Yusong Zhi; Yuanqi Huang; Zhenping Wu; Weihua Tang,article,2.0,37.0,2.0,39.0,0.004103446369303,0.0027274033435347,1.369320938727422e-05,1.4688391475333014,1.5214677096971355e-06
W3134050294,https://doi.org/10.1007/s12274-021-3346-7,Highly sensitive solar-blind deep ultraviolet photodetector based on graphene/PtSe2/β-Ga2O3 2D/3D Schottky junction with ultrafast speed,2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Nano Research,Springer Science+Business Media,Di Wu; Zhihui Zhao; Wei Lü; Lukas Rogée; Longhui Zeng; Pei Lin; Zhifeng Shi; Yongtao Tian; Xinjian Li; Yuen Hong Tsang,article,2.0,6.0,4.0,10.0,6.854125861772e-12,0.0005173676157171,2.9608328695118753e-05,0.0010678874524775,1.4804164347559377e-06
