id,doi,title,year,field,subfield,topic,container_title,publisher,authors,type,community,in_degree,out_degree,degree,eigenvector,pagerank,betweenness,PC1_score
W2783668429,https://doi.org/10.1063/1.5006941,"A review of Ga2O3 materials, processing, and devices",2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Reviews,American Institute of Physics,S. J. Pearton; Jiancheng Yang; Patrick H. Cary; F. Ren; Jihyun Kim; Marko J. Tadjer; Michael A. Mastro,review,2,854,0,854,0.955723395,0.156608249,0.0,67.17360511730637
W2192772080,https://doi.org/10.1063/1.4935926,Review of selective laser melting: Materials and applications,2015,Engineering,Mechanical Engineering,Additive Manufacturing Materials and Processes,Applied Physics Reviews,American Institute of Physics,Chor Yen Yap; Chee Kai Chua; Zhili Dong; Z. H. Liu; D. Q. Zhang; L. E. Loh; Swee Leong Sing,article,0,323,0,323,0.003282411,0.067995596,0.0,19.607942329499497
W1975851231,https://doi.org/10.1063/1.4858400,The physics and chemistry of the Schottky barrier height,2014,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Semiconductor materials and interfaces,Applied Physics Reviews,American Institute of Physics,R. T. Tung,article,9,224,0,224,0.027177726,0.045321698,0.0,13.730083009363144
W2905220617,https://doi.org/10.1063/1.5062841,Perspective: Ga2O3 for ultra-high power rectifiers and MOSFETS,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Applied Physics,American Institute of Physics,S. J. Pearton; F. Ren; Marko J. Tadjer; Jihyun Kim,article,1,140,2,142,0.092790622,0.016086867,0.000166331,8.644669560647266
W2918298554,https://doi.org/10.1364/prj.7.000381,Review of gallium-oxide-based solar-blind ultraviolet photodetectors,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Photonics Research,Optica Publishing Group,Xuanhu Chen; Fangfang Ren; Shulin Gu; Jiandong Ye,article,2,112,4,116,0.019446418,0.010779466,0.000403675,5.856313990346867
W3008665815,https://doi.org/10.1063/1.5142999,"Recent progress on the electronic structure, defect, and doping properties of Ga2O3",2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,APL Materials,American Institute of Physics,Jiaye Zhang; Jueli Shi; Dongchen Qi; Lang Chen; Kelvin H. L. Zhang,article,3,92,13,105,0.000429856,0.004708322,0.002119372,5.457373152826369
W2804762466,https://doi.org/10.1038/s41586-018-0129-8,Approaching the Schottky–Mott limit in van der Waals metal–semiconductor junctions,2018,Materials Science,Materials Chemistry,2D Materials and Applications,Nature,Nature Portfolio,Yuan Liu; Jian Guo; Enbo Zhu; Lei Liao; Sung‐Joon Lee; Mengning Ding; Imran Shakir; Vincent Gambin; Yu Huang; Xiangfeng Duan,article,9,77,1,78,0.003536714,0.008559548,8.22e-06,3.623375054162716
W3100843411,https://doi.org/10.1063/1.5088164,Trapped-ion quantum computing: Progress and challenges,2019,Computer Science,Artificial Intelligence,Quantum Computing Algorithms and Architecture,Applied Physics Reviews,American Institute of Physics,Colin Bruzewicz; John Chiaverini; Robert McConnell; Jeremy Sage,article,6,68,0,68,7.45e-12,0.014836198,0.0,3.8580759324721874
W2897102015,https://doi.org/10.1039/c8tc04193h,Radiation damage effects in Ga<sub>2</sub>O<sub>3</sub> materials and devices,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Materials Chemistry C,Royal Society of Chemistry,Jihyun Kim; S. J. Pearton; Chaker Fares; Jiancheng Yang; F. Ren; Suhyun Kim; A. Y. Polyakov,article,4,65,1,66,0.032220501,0.00695304,0.0,3.49630864552389
W2988598880,https://doi.org/10.1016/j.mtphys.2019.100157,Review of Ga2O3-based optoelectronic devices,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Materials Today Physics,Elsevier BV,Daoyou Guo; Qixin Guo; Z. Chen; Zhenping Wu; P. Li; Weihua Tang,article,2,62,4,66,0.001133272,0.003527881,0.000170055,2.6288200010023206
W2929602740,https://doi.org/10.1149/2.0341907jss,Editors' Choice—Review—Theory and Characterization of Doping and Defects in β-Ga<sub>2</sub>O<sub>3</sub>,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,ECS Journal of Solid State Science and Technology,Institute of Physics,Marko J. Tadjer; John L. Lyons; Neeraj Nepal; Jaime A. Freitas; Andrew D. Koehler; Geoffrey M. Foster,article,4,56,6,62,0.014094405,0.004331908,0.000433759,2.9425913347805053
W3042514039,https://doi.org/10.1063/5.0010052,A 1.86-kV double-layered NiO/<b> <i>β</i> </b>-Ga2O3 vertical p–n heterojunction diode,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,Hehe Gong; Xuanhu Chen; Yang Xu; Fangfang Ren; Shulin Gu; Jiandong Ye,article,1,53,3,56,0.00078153,0.002511751,2.05e-05,2.0363265059154787
W2965466742,https://doi.org/10.1109/led.2019.2931697,Vertical Ga<sub>2</sub>O<sub>3</sub>Schottky Barrier Diodes With Small-Angle Beveled Field Plates: A Baliga’s Figure-of-Merit of 0.6 GW/cm<sup>2</sup>,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Electron Device Letters,Institute of Electrical and Electronics Engineers,Noah Allen; Ming Xiao; Xiaodong Yan; Kohei Sasaki; Marko J. Tadjer; Jiahui Ma; Ruizhe Zhang; Han Wang; Yuhao Zhang,article,1,50,3,53,0.005471053,0.004070423,3.63e-05,2.183529918797441
W3010867429,https://doi.org/10.1063/1.5142195,Point defects in Ga<sub>2</sub>O<sub>3</sub>,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Applied Physics,American Institute of Physics,Matthew D. McCluskey,article,4,48,9,57,0.000156353,0.002501148,0.000377425,2.2069940250867863
W2894790801,https://doi.org/10.1063/1.5051986,Electrical properties of bulk semi-insulating β-Ga2O3 (Fe),2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,A. Y. Polyakov; N. B. Smirnov; Ivan Shchemerov; S. J. Pearton; F. Ren; А. В. Черных; А. I. Kochkova,article,4,44,1,45,0.09000433,0.006151629,0.0,3.6385273874938213
W2972201609,https://doi.org/10.1021/acsami.9b11012,"Ultrasensitive, Superhigh Signal-to-Noise Ratio, Self-Powered Solar-Blind Photodetector Based on <i>n</i>-Ga<sub>2</sub>O<sub>3</sub>/<i>p</i>-CuSCN Core–Shell Microwire Heterojunction",2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,ACS Applied Materials & Interfaces,American Chemical Society,Shan Li; Daoyou Guo; Peigang Li; Xia Wang; Yuehui Wang; Zuyong Yan; Zeng Liu; Yusong Zhi; Yuanqi Huang; Zhenping Wu; Weihua Tang,article,2,37,2,39,0.004103446,0.002727403,1.37e-05,1.4688440614172484
W2964089346,https://doi.org/10.1109/led.2019.2930189,Lateral 1.8 kV $\beta$ -Ga<sub>2</sub>O<sub>3</sub> MOSFET With 155 MW/cm<sup>2</sup> Power Figure of Merit,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Electron Device Letters,Institute of Electrical and Electronics Engineers,Kornelius Tetzner; Eldad Bahat‐Treidel; Oliver Hilt; Andreas Popp; Saud Bin Anooz; G. Wagner; Andreas Thies; Karina Ickert; Hassan Gargouri; Joachim Würfl,article,1,36,2,38,0.00605741,0.003361815,5.9e-05,1.5650309289386524
W4284881561,https://doi.org/10.1038/s41467-022-31664-y,Ultra-wide bandgap semiconductor Ga2O3 power diodes,2022,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Nature Communications,Nature Portfolio,Jincheng Zhang; Pengfei Dong; Kui Dang; Yanni Zhang; Qinglong Yan; Hu Xiang; Jie Su; Zhihong Liu; Mengwei Si; Jiacheng Gao; Moufu Kong; Hong Zhou; Yue Hao,article,1,35,12,47,1.33e-12,0.001188349,0.000606061,1.778886837729854
W2888907893,https://doi.org/10.1063/1.5049130,Defects responsible for charge carrier removal and correlation with deep level introduction in irradiated β-Ga2O3,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,A. Y. Polyakov; N. B. Smirnov; Ivan Shchemerov; E. B. Yakimov; S. J. Pearton; Chaker Fares; Jiancheng Yang; F. Ren; Jihyun Kim; П. Б. Лагов; V. S. Stolbunov; А. I. Kochkova,article,4,35,1,36,0.02902373,0.003518044,0.0,1.8967818769552842
W3160045927,https://doi.org/10.1038/s41586-021-03472-9,Ultralow contact resistance between semimetal and monolayer semiconductors,2021,Materials Science,Materials Chemistry,2D Materials and Applications,Nature,Nature Portfolio,Pin‐Chun Shen; Cong Su; Yuxuan Lin; Ang‐Sheng Chou; Chao-Ching Cheng; Ji Hoon Park; Ming‐Hui Chiu; Ang‐Yu Lu; Hao‐Ling Tang; Mohammad Mahdi Tavakoli; Gregory Pitner; Xiang Ji; Zhengyang Cai; Nannan Mao; Jiangtao Wang; Vincent Tung; Ju Li; Jeffrey Bokor; Alex Zettl; Chih‐I Wu,article,9,34,4,38,1.45e-11,0.001928263,3.39e-05,1.2489742402010617
W3122996276,https://doi.org/10.1063/5.0038349,Low defect density and small I−V curve hysteresis in NiO/<b> <i>β</i> </b>-Ga2O3 pn diode with a high PFOM of 0.65 GW/cm2,2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Applied Physics Letters,American Institute of Physics,Weibing Hao; Qiming He; Kai Zhou; Guangwei Xu; Wenhao Xiong; Xuanze Zhou; Guangzhong Jian; Chen Chen; Xiaolong Zhao; Shibing Long,article,1,33,5,38,0.000156305,0.001219424,0.000101665,1.2050082686630308
W2904883747,https://doi.org/10.1063/1.5054606,Impact of deep level defects induced by high energy neutron radiation in β-Ga2O3,2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,APL Materials,American Institute of Physics,Esmat Farzana; Max Chaiken; Thomas E. Blue; Aaron R. Arehart; Steven A. Ringel,article,4,33,1,34,0.021303817,0.002467213,0.0,1.5652367113560501
W2980128752,https://doi.org/10.1109/tpel.2019.2946367,Progress of Ultra-Wide Bandgap Ga<sub>2</sub>O<sub>3</sub> Semiconductor Materials in Power MOSFETs,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Transactions on Power Electronics,Institute of Electrical and Electronics Engineers,Hongpeng Zhang; Lei Yuan; Xiao-Yan Tang; Jichao Hu; Jianwu Sun; Yimen Zhang; Yuming Zhang; Renxu Jia,article,1,31,9,40,0.002383646,0.001667537,0.000378347,1.4946584306966002
W3135295779,https://doi.org/10.1109/led.2021.3062851,"Demonstration of the p-NiO<sub>x</sub>/n-Ga<sub>2</sub>O<sub>3</sub> Heterojunction Gate FETs and Diodes With BV<sup>2</sup>/R<sub>on,sp</sub> Figures of Merit of 0.39 GW/cm<sup>2</sup> and 1.38 GW/cm<sup>2</sup>",2021,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,IEEE Electron Device Letters,Institute of Electrical and Electronics Engineers,Chenlu Wang; Hehe Gong; Weina Lei; Yuncong Cai; Zhuangzhuang Hu; Shengrui Xu; Zhihong Liu; Qian Feng; Hong Zhou; Jiandong Ye; Jincheng Zhang; Rong Zhang; Yue Hao,article,1,31,7,38,3.91e-05,0.001051352,0.000127698,1.1686351497895708
W3008802178,https://doi.org/10.1063/1.5140742,Self-trapped hole and impurity-related broad luminescence in <i>β</i>-Ga2O3,2020,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,Journal of Applied Physics,American Institute of Physics,Ymir Kalmann Frodason; K. M. Johansen; Lasse Vines; Joel B. Varley,article,4,31,1,32,0.000547149,0.0014816,0.0,1.004245529941506
W2803813920,https://doi.org/10.1063/1.5034444,"Ga2O3 Schottky rectifiers with 1 ampere forward current, 650 V reverse breakdown and 26.5 MW.cm-2 figure-of-merit",2018,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,AIP Advances,American Institute of Physics,Jiancheng Yang; F. Ren; Marko J. Tadjer; S. J. Pearton; Akito Kuramata,article,1,31,1,32,0.237458806,0.014397314,5.2e-08,6.696436233178641
W2921778609,https://doi.org/10.1149/2.0221907jss,Editors' Choice—Hydrogen Centers in β-Ga<sub>2</sub>O<sub>3</sub>: Infrared Spectroscopy and Density Functional Theory,2019,Materials Science,"Electronic, Optical and Magnetic Materials",Ga2O3 and related materials,ECS Journal of Solid State Science and Technology,Institute of Physics,Ying Qin; Michael Stavola; W. Beall Fowler; Philip Weiser; S. J. Pearton,article,4,29,2,31,0.008898656,0.001808731,8.9e-06,1.1411517069034423
